,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Garoowe,SO,1613509928,8.4054,48.4845,66.34,91,10,10.69
1,Grand Gaube,MU,1613509752,-20.0064,57.6608,77.0,88,96,1.99
2,Weiser,US,1613510106,44.251,-116.9693,42.8,52,40,4.61
3,Kathmandu,NP,1613509847,27.7167,85.3167,48.2,93,20,3.44
4,Puerto Ayora,EC,1613509704,-0.7393,-90.3518,84.2,70,75,12.66
5,Barbacena,BR,1613510106,-21.2258,-43.7736,82.4,42,20,9.22
6,Caicedo,CO,1613510107,6.4051,-75.9826,68.0,64,40,6.91
7,Kadyy,RU,1613510107,57.787,43.1903,4.32,94,100,7.18
8,Pangnirtung,CA,1613509727,66.1451,-65.7125,-11.2,77,20,16.11
9,Bethel,US,1613509689,41.3712,-73.414,46.4,66,90,8.05
10,Upernavik,GL,1613509706,72.7868,-56.1549,-8.48,88,89,2.51
11,Jamestown,US,1613509467,42.097,-79.2353,21.0,86,90,14.97
12,Rikitea,PF,1613509689,-23.1203,-134.9692,79.05,73,0,13.98
13,Atuona,PF,1613509699,-9.8,-139.0333,78.93,79,30,15.26
14,Eidfjord,NO,1613510108,60.4675,7.0719,19.0,86,100,8.68
15,Kapaa,US,1613509692,22.0752,-159.319,79.0,88,75,12.66
16,Half Moon Bay,US,1613510108,37.4636,-122.4286,55.99,76,20,17.27
17,Durban,ZA,1613510103,-29.8579,31.0292,68.0,82,90,6.91
18,Saint Paul Harbor,US,1613509724,57.79,-152.4072,39.2,81,90,3.44
19,Butaritari,KI,1613509696,3.0707,172.7902,81.3,80,2,18.43
20,Chokurdakh,RU,1613509760,70.6333,147.9167,-18.78,89,98,1.92
21,Busselton,AU,1613509699,-33.65,115.3333,57.0,96,0,1.01
22,Sarankhola,BD,1613510109,22.3082,89.7897,62.19,63,0,0.98
23,Saint-Augustin,CA,1613509711,51.226,-58.6502,11.08,91,100,5.41
24,Airai,TL,1613509704,-8.9266,125.4092,60.31,100,100,2.26
25,Punta Arenas,CL,1613509691,-53.15,-70.9167,64.4,45,90,11.5
26,Hithadhoo,MV,1613509725,-0.6,73.0833,81.61,68,85,3.78
27,Harrison,US,1613510110,30.4091,-89.0436,39.2,45,1,5.75
28,Caravelas,BR,1613509724,-17.7125,-39.2481,79.07,78,100,10.8
29,‘Āhuimanu,US,1613509924,21.4447,-157.8378,80.6,65,40,5.75
30,Iqaluit,CA,1613509690,63.7506,-68.5145,-4.0,65,40,11.5
31,Hobart,AU,1613509696,-42.8794,147.3294,60.8,77,20,6.91
32,Aksarka,RU,1613509951,66.5606,67.7975,-18.29,86,93,9.4
33,Vaini,TO,1613509690,-21.2,-175.2,82.4,78,20,9.22
34,Kpandae,GH,1613510111,8.4689,-0.0113,88.21,40,69,5.53
35,Izhma,RU,1613510111,65.0083,53.9113,-31.97,83,78,3.67
36,Bredasdorp,ZA,1613509690,-34.5322,20.0403,66.2,68,81,16.11
37,Thompson,CA,1613509704,55.7435,-97.8558,6.8,66,40,4.61
38,Atambua,ID,1613510111,-9.1061,124.8925,73.87,90,100,0.29
39,Port Lincoln,AU,1613509738,-34.7333,135.8667,72.7,62,0,9.08
40,Hermanus,ZA,1613509688,-34.4187,19.2345,66.0,76,21,8.99
41,Nampula,MZ,1613510112,-15.1165,39.2666,80.6,74,0,14.97
42,Cherskiy,RU,1613509688,68.75,161.3,-24.68,87,10,2.04
43,George Town,MY,1613509688,5.4112,100.3354,78.8,83,20,4.7
44,Narasaraopet,IN,1613510112,16.25,80.0667,65.89,91,0,3.47
45,Maniwaki,CA,1613510113,46.3834,-75.966,10.4,85,100,8.05
46,Saint-François,FR,1613509743,46.4154,3.9054,53.6,62,0,5.75
47,Itarema,BR,1613509926,-2.9248,-39.9167,74.82,92,100,3.62
48,Bluff,NZ,1613509690,-46.6,168.3333,54.0,78,30,3.94
49,Castro,BR,1613509689,-24.7911,-50.0119,74.07,71,31,3.4
50,San Quintín,MX,1613509690,30.4833,-115.95,61.38,63,95,18.61
51,New Norfolk,AU,1613509711,-42.7826,147.0587,57.99,77,10,2.51
52,Aripuanã,BR,1613509936,-9.1667,-60.6333,81.46,87,95,1.66
53,Kushmurun,KZ,1613509995,52.4503,64.6311,-8.43,87,68,3.02
54,Vila Franca do Campo,PT,1613509988,37.7167,-25.4333,59.0,67,40,16.11
55,Sittwe,MM,1613510114,20.15,92.9,64.04,75,0,8.01
56,Ancud,CL,1613509691,-41.8697,-73.8203,64.99,59,20,8.05
57,Vestmannaeyjar,IS,1613509767,63.4427,-20.2734,40.08,89,100,6.96
58,Cabo San Lucas,MX,1613509651,22.8909,-109.9124,78.01,52,1,24.16
59,Marzuq,YE,1613510115,14.4,46.4667,61.65,46,16,3.51
60,Tommot,RU,1613509694,58.9564,126.2925,-28.64,81,10,1.66
61,Sosnovo-Ozerskoye,RU,1613510115,52.5249,111.5418,-13.86,87,94,3.22
62,Qaanaaq,GL,1613509699,77.484,-69.3632,-5.66,86,99,0.56
63,Avarua,CK,1613509700,-21.2078,-159.775,82.4,78,75,2.3
64,Naze,JP,1613509725,28.3667,129.4833,52.38,77,100,21.43
65,Egvekinot,RU,1613509887,66.3167,-179.1667,-14.6,87,45,12.86
66,Riohacha,CO,1613509861,11.5444,-72.9072,85.87,52,87,14.43
67,Zavoronezhskoye,RU,1613510116,52.8801,40.5526,-9.92,89,6,7.45
68,Marietta,US,1613509822,33.9526,-84.5499,28.4,68,75,8.05
69,Bonavista,CA,1613509763,48.6499,-53.1147,27.0,58,100,3.44
70,Viedma,AR,1613509972,-40.8135,-62.9967,82.99,32,0,10.36
71,Ushuaia,AR,1613509694,-54.8,-68.3,60.8,55,40,9.22
72,Myaundzha,RU,1613510118,63.0494,147.1858,-11.81,87,100,2.33
73,Nynäshamn,SE,1613510118,58.9034,17.9479,28.99,88,7,7.18
74,Cape Town,ZA,1613509688,-33.9258,18.4232,69.01,60,0,9.22
75,Saskylakh,RU,1613509698,71.9167,114.0833,-26.18,84,76,10.63
76,Mataura,NZ,1613509703,-46.1927,168.8643,54.0,78,21,0.6
77,Bunda,TZ,1613510119,-2.05,33.8667,67.12,80,66,3.27
78,Dikson,RU,1613509713,73.5069,80.5464,-26.23,87,99,12.64
79,Peruíbe,BR,1613510119,-24.32,-46.9983,79.9,78,16,5.5
80,Saint-Philippe,RE,1613509688,-21.3585,55.7679,80.6,74,0,4.61
81,Barpeta,IN,1613510119,26.3167,91.0,57.2,77,40,3.67
82,Lixouri,GR,1613510119,38.2019,20.4314,44.8,55,0,8.99
83,Jeremoabo,BR,1613510120,-10.075,-38.4808,78.51,71,98,4.68
84,Hilo,US,1613509711,19.7297,-155.09,80.6,61,40,8.05
85,Murray,US,1613510120,40.6669,-111.888,37.4,100,90,12.66
86,Chontalpa,MX,1613510120,17.7,-93.5167,76.35,76,52,5.75
87,Flinders,AU,1613509748,-34.5833,150.8552,68.0,92,88,1.01
88,Pinhão,BR,1613510120,-25.6956,-51.6597,73.0,59,36,6.49
89,Honiara,SB,1613510121,-9.4333,159.95,81.25,79,96,2.57
90,Channel-Port aux Basques,CA,1613510121,47.5702,-59.1367,25.05,97,100,15.19
91,Torbay,CA,1613509697,47.6666,-52.7314,27.0,68,90,11.5
92,Hailey,US,1613510121,43.5196,-114.3153,35.6,55,75,9.22
93,Lebu,CL,1613509713,-37.6167,-73.65,59.31,69,0,12.77
94,Stephenville,US,1613509926,32.2207,-98.2023,21.2,53,40,8.05
95,Dunedin,NZ,1613509727,-45.8742,170.5036,54.0,67,1,13.0
96,Wanning,CN,1613510122,18.8003,110.3967,63.99,91,7,7.07
97,Erzin,TR,1613510122,36.9559,36.2,41.0,95,99,17.0
98,Tautira,PF,1613509774,-17.7333,-149.15,84.2,74,75,3.44
99,Los Llanos de Aridane,ES,1613509667,28.6585,-17.9182,66.2,48,0,9.22
100,Bridlington,GB,1613510122,54.0831,-0.1919,44.01,85,68,1.01
